arm,run,minute,resident,resident_lo,resident_hi,stat,offered,offered_kind,pearson_r_with_arrivals,rejected_pct,unfinished_pct,repeats
PolyServe,260831_2232_exp109r1_polyservept75_shift,0.0,0.9382203244478006,0.9317212827450762,0.9382203244478006,cv,9.883333333333333,rate,-0.05238319477453005,22.238568348078434,0.6156667539952843,2
PolyServe,260831_2232_exp109r1_polyservept75_shift,1.0,0.8933447372574173,0.8896551414166488,0.8933447372574173,cv,11.25,rate,-0.05238319477453005,22.238568348078434,0.6156667539952843,2
PolyServe,260831_2232_exp109r1_polyservept75_shift,2.0,0.8686506863908399,0.8686506863908399,0.869959430192012,cv,11.233333333333333,rate,-0.05238319477453005,22.238568348078434,0.6156667539952843,2
PolyServe,260831_2232_exp109r1_polyservept75_shift,3.0,0.871720987799882,0.8698324016269872,0.871720987799882,cv,10.85,rate,-0.05238319477453005,22.238568348078434,0.6156667539952843,2
PolyServe,260831_2232_exp109r1_polyservept75_shift,4.0,0.8829852448712266,0.8829852448712266,0.893177051851353,cv,11.766666666666667,rate,-0.05238319477453005,22.238568348078434,0.6156667539952843,2
PolyServe,260831_2232_exp109r1_polyservept75_shift,5.0,0.8389891046047724,0.8389891046047724,0.8397350906223241,cv,24.816666666666666,rate,-0.05238319477453005,22.238568348078434,0.6156667539952843,2
PolyServe,260831_2232_exp109r1_polyservept75_shift,6.0,0.8047247448795203,0.8047247448795203,0.8061360946802435,cv,40.166666666666664,rate,-0.05238319477453005,22.238568348078434,0.6156667539952843,2
PolyServe,260831_2232_exp109r1_polyservept75_shift,7.0,0.8107972901863287,0.8107972901863287,0.8113770351658034,cv,38.916666666666664,rate,-0.05238319477453005,22.238568348078434,0.6156667539952843,2
PolyServe,260831_2232_exp109r1_polyservept75_shift,8.0,0.8073480780163363,0.8072781061425294,0.8073480780163363,cv,40.46666666666667,rate,-0.05238319477453005,22.238568348078434,0.6156667539952843,2
PolyServe,260831_2232_exp109r1_polyservept75_shift,9.0,0.8223648789231904,0.8223648789231904,0.8239382773591845,cv,40.53333333333333,rate,-0.05238319477453005,22.238568348078434,0.6156667539952843,2
PolyServe,260831_2232_exp109r1_polyservept75_shift,10.0,1.066491224524222,1.0495746615680246,1.066491224524222,cv,36.3,rate,-0.05238319477453005,22.238568348078434,0.6156667539952843,2
PolyServe,260831_2232_exp109r1_polyservept75_shift,11.0,1.3579630231244928,1.3579630231244928,1.3719081234618409,cv,20.6,rate,-0.05238319477453005,22.238568348078434,0.6156667539952843,2
PolyServe,260831_2232_exp109r1_polyservept75_shift,12.0,1.0942592663690238,1.0942592663690238,1.1062106405745658,cv,21.866666666666667,rate,-0.05238319477453005,22.238568348078434,0.6156667539952843,2
PolyServe,260831_2232_exp109r1_polyservept75_shift,13.0,1.3384571063406885,1.2962354216057024,1.3384571063406885,cv,26.733333333333334,rate,-0.05238319477453005,22.238568348078434,0.6156667539952843,2
PolyServe,260831_2232_exp109r1_polyservept75_shift,14.0,1.5894434330911669,1.2780913357299237,1.5894434330911669,cv,16.45,rate,-0.05238319477453005,22.238568348078434,0.6156667539952843,2
PolyServe,260831_2232_exp109r1_polyservept75_shift,15.0,0.44364416899456816,0.44364416899456816,0.47118736782574067,cv,14.483333333333333,rate,-0.05238319477453005,22.238568348078434,0.6156667539952843,2
PolyServe,260831_2232_exp109r1_polyservept75_shift,16.0,0.23130345965753646,0.23130345965753646,0.24102037012375283,cv,20.7,rate,-0.05238319477453005,22.238568348078434,0.6156667539952843,2
PolyServe,260831_2232_exp109r1_polyservept75_shift,17.0,0.19838605147990285,0.19838605147990285,0.2084962859183393,cv,22.016666666666666,rate,-0.05238319477453005,22.238568348078434,0.6156667539952843,2
PolyServe,260831_2232_exp109r1_polyservept75_shift,18.0,0.22927572616564648,0.2227875548061161,0.22927572616564648,cv,16.183333333333334,rate,-0.05238319477453005,22.238568348078434,0.6156667539952843,2
PolyServe,260831_2232_exp109r1_polyservept75_shift,19.0,0.29134611595989685,0.28284574218027103,0.29134611595989685,cv,21.416666666666668,rate,-0.05238319477453005,22.238568348078434,0.6156667539952843,2
PolyServe,260831_2232_exp109r1_polyservept75_shift,20.0,0.36838103844313846,0.36838103844313846,0.37988321464312086,cv,32.35,rate,-0.05238319477453005,22.238568348078434,0.6156667539952843,2
PolyServe,260831_2232_exp109r1_polyservept75_shift,21.0,0.35149320562129854,0.35149320562129854,0.3671887815121392,cv,39.05,rate,-0.05238319477453005,22.238568348078434,0.6156667539952843,2
PolyServe,260831_2232_exp109r1_polyservept75_shift,22.0,0.3441268339967297,0.3441268339967297,0.3471185741499909,cv,33.45,rate,-0.05238319477453005,22.238568348078434,0.6156667539952843,2
PolyServe,260831_2232_exp109r1_polyservept75_shift,23.0,0.3221096077302541,0.3221096077302541,0.3446023669068257,cv,33.53333333333333,rate,-0.05238319477453005,22.238568348078434,0.6156667539952843,2
PolyServe,260831_2232_exp109r1_polyservept75_shift,24.0,0.2616513548271738,0.2594758093759185,0.2616513548271738,cv,32.75,rate,-0.05238319477453005,22.238568348078434,0.6156667539952843,2
PolyServe,260831_2232_exp109r1_polyservept75_shift,25.0,0.18229660039528983,0.18229660039528983,0.23931811397805053,cv,22.5,rate,-0.05238319477453005,22.238568348078434,0.6156667539952843,2
PolyServe,260831_2232_exp109r1_polyservept75_shift,26.0,0.2379570249218352,0.2379570249218352,0.24009261798365947,cv,17.666666666666668,rate,-0.05238319477453005,22.238568348078434,0.6156667539952843,2
PolyServe,260831_2232_exp109r1_polyservept75_shift,27.0,0.27633763360950053,0.27633763360950053,0.2836348135885023,cv,22.433333333333334,rate,-0.05238319477453005,22.238568348078434,0.6156667539952843,2
PolyServe,260831_2232_exp109r1_polyservept75_shift,28.0,0.2378131769575386,0.2378131769575386,0.24193521089245082,cv,28.633333333333333,rate,-0.05238319477453005,22.238568348078434,0.6156667539952843,2
PolyServe,260831_2232_exp109r1_polyservept75_shift,29.0,0.19034182111605483,0.1764178426588975,0.19034182111605483,cv,18.116666666666667,rate,-0.05238319477453005,22.238568348078434,0.6156667539952843,2
PolyServe,260831_2232_exp109r1_polyservept75_shift,30.0,0.6317746296300543,0.5394433634122572,0.6317746296300543,cv,14.3,rate,-0.05238319477453005,22.238568348078434,0.6156667539952843,2
