arm,engine_rank,engine_port,series,minute,value,resident_chat,resident_deepresearch,resident_swe,budgets
llm-d,1,8003,tbt_ms,0.8812,14.771,,,,"chat 25 ms, swe 38 ms, deepresearch 50 ms per token"
llm-d,1,8003,tbt_ms,0.8978,14.91,,,,"chat 25 ms, swe 38 ms, deepresearch 50 ms per token"
llm-d,1,8003,tbt_ms,0.9145,15.029,,,,"chat 25 ms, swe 38 ms, deepresearch 50 ms per token"
llm-d,1,8003,tbt_ms,0.9312,15.135,,,,"chat 25 ms, swe 38 ms, deepresearch 50 ms per token"
llm-d,1,8003,tbt_ms,0.9478,15.194,,,,"chat 25 ms, swe 38 ms, deepresearch 50 ms per token"
llm-d,1,8003,tbt_ms,0.9645,15.235,,,,"chat 25 ms, swe 38 ms, deepresearch 50 ms per token"
llm-d,1,8003,tbt_ms,0.9812,15.257,,,,"chat 25 ms, swe 38 ms, deepresearch 50 ms per token"
llm-d,1,8003,tbt_ms,0.9978,15.275,,,,"chat 25 ms, swe 38 ms, deepresearch 50 ms per token"
llm-d,1,8003,tbt_ms,1.0145,15.305,,,,"chat 25 ms, swe 38 ms, deepresearch 50 ms per token"
llm-d,1,8003,tbt_ms,1.0312,15.363,,,,"chat 25 ms, swe 38 ms, deepresearch 50 ms per token"
llm-d,1,8003,tbt_ms,1.0478,15.384,,,,"chat 25 ms, swe 38 ms, deepresearch 50 ms per token"
llm-d,1,8003,tbt_ms,1.0645,15.396,,,,"chat 25 ms, swe 38 ms, deepresearch 50 ms per token"
llm-d,1,8003,tbt_ms,1.0812,15.408,,,,"chat 25 ms, swe 38 ms, deepresearch 50 ms per token"
llm-d,1,8003,tbt_ms,1.0978,15.415,,,,"chat 25 ms, swe 38 ms, deepresearch 50 ms per token"
llm-d,1,8003,tbt_ms,1.1145,15.419,,,,"chat 25 ms, swe 38 ms, deepresearch 50 ms per token"
llm-d,1,8003,tbt_ms,1.1312,15.443,,,,"chat 25 ms, swe 38 ms, deepresearch 50 ms per token"
llm-d,1,8003,tbt_ms,1.1478,15.477,,,,"chat 25 ms, swe 38 ms, deepresearch 50 ms per token"
llm-d,1,8003,tbt_ms,1.1645,15.517,,,,"chat 25 ms, swe 38 ms, deepresearch 50 ms per token"
llm-d,1,8003,tbt_ms,1.1812,15.573,,,,"chat 25 ms, swe 38 ms, deepresearch 50 ms per token"
llm-d,1,8003,tbt_ms,1.1978,15.611,,,,"chat 25 ms, swe 38 ms, deepresearch 50 ms per token"
llm-d,1,8003,tbt_ms,1.2145,15.683,,,,"chat 25 ms, swe 38 ms, deepresearch 50 ms per token"
llm-d,1,8003,tbt_ms,1.2312,15.777,,,,"chat 25 ms, swe 38 ms, deepresearch 50 ms per token"
llm-d,1,8003,tbt_ms,1.2478,15.848,,,,"chat 25 ms, swe 38 ms, deepresearch 50 ms per token"
llm-d,1,8003,tbt_ms,1.2645,15.897,,,,"chat 25 ms, swe 38 ms, deepresearch 50 ms per token"
llm-d,1,8003,tbt_ms,1.2812,15.975,,,,"chat 25 ms, swe 38 ms, deepresearch 50 ms per token"
llm-d,1,8003,tbt_ms,1.2978,16.027,,,,"chat 25 ms, swe 38 ms, deepresearch 50 ms per token"
llm-d,1,8003,tbt_ms,1.3145,16.121,,,,"chat 25 ms, swe 38 ms, deepresearch 50 ms per token"
llm-d,1,8003,tbt_ms,1.3312,16.149,,,,"chat 25 ms, swe 38 ms, deepresearch 50 ms per token"
llm-d,1,8003,tbt_ms,1.3478,16.218,,,,"chat 25 ms, swe 38 ms, deepresearch 50 ms per token"
llm-d,1,8003,tbt_ms,1.3645,16.263,,,,"chat 25 ms, swe 38 ms, deepresearch 50 ms per token"
llm-d,1,8003,tbt_ms,1.3812,16.305,,,,"chat 25 ms, swe 38 ms, deepresearch 50 ms per token"
llm-d,1,8003,tbt_ms,1.3978,16.387,,,,"chat 25 ms, swe 38 ms, deepresearch 50 ms per token"
llm-d,1,8003,tbt_ms,1.4145,16.421,,,,"chat 25 ms, swe 38 ms, deepresearch 50 ms per token"
llm-d,1,8003,tbt_ms,1.4312,16.495,,,,"chat 25 ms, swe 38 ms, deepresearch 50 ms per token"
llm-d,1,8003,tbt_ms,1.4478,16.582,,,,"chat 25 ms, swe 38 ms, deepresearch 50 ms per token"
llm-d,1,8003,tbt_ms,1.4645,16.645,,,,"chat 25 ms, swe 38 ms, deepresearch 50 ms per token"
llm-d,1,8003,tbt_ms,1.4812,16.702,,,,"chat 25 ms, swe 38 ms, deepresearch 50 ms per token"
llm-d,1,8003,tbt_ms,1.4978,16.786,,,,"chat 25 ms, swe 38 ms, deepresearch 50 ms per token"
llm-d,1,8003,tbt_ms,1.5145,16.855,,,,"chat 25 ms, swe 38 ms, deepresearch 50 ms per token"
llm-d,1,8003,tbt_ms,1.5312,16.901,,,,"chat 25 ms, swe 38 ms, deepresearch 50 ms per token"
llm-d,1,8003,tbt_ms,1.5478,16.957,,,,"chat 25 ms, swe 38 ms, deepresearch 50 ms per token"
llm-d,1,8003,tbt_ms,1.5645,17.025,,,,"chat 25 ms, swe 38 ms, deepresearch 50 ms per token"
llm-d,1,8003,tbt_ms,1.5812,17.083,,,,"chat 25 ms, swe 38 ms, deepresearch 50 ms per token"
llm-d,1,8003,tbt_ms,1.5978,17.149,,,,"chat 25 ms, swe 38 ms, deepresearch 50 ms per token"
llm-d,1,8003,tbt_ms,1.6145,17.216,,,,"chat 25 ms, swe 38 ms, deepresearch 50 ms per token"
llm-d,1,8003,tbt_ms,1.6312,17.27,,,,"chat 25 ms, swe 38 ms, deepresearch 50 ms per token"
llm-d,1,8003,tbt_ms,1.6478,17.344,,,,"chat 25 ms, swe 38 ms, deepresearch 50 ms per token"
llm-d,1,8003,tbt_ms,1.6645,17.4,,,,"chat 25 ms, swe 38 ms, deepresearch 50 ms per token"
llm-d,1,8003,tbt_ms,1.6812,17.466,,,,"chat 25 ms, swe 38 ms, deepresearch 50 ms per token"
llm-d,1,8003,tbt_ms,1.6978,17.534,,,,"chat 25 ms, swe 38 ms, deepresearch 50 ms per token"
llm-d,1,8003,tbt_ms,1.7145,17.584,,,,"chat 25 ms, swe 38 ms, deepresearch 50 ms per token"
llm-d,1,8003,tbt_ms,1.7312,17.692,,,,"chat 25 ms, swe 38 ms, deepresearch 50 ms per token"
llm-d,1,8003,tbt_ms,1.7478,17.751,,,,"chat 25 ms, swe 38 ms, deepresearch 50 ms per token"
llm-d,1,8003,tbt_ms,1.7645,17.823,,,,"chat 25 ms, swe 38 ms, deepresearch 50 ms per token"
llm-d,1,8003,tbt_ms,1.7812,17.928,,,,"chat 25 ms, swe 38 ms, deepresearch 50 ms per token"
llm-d,1,8003,tbt_ms,1.7978,18.017,,,,"chat 25 ms, swe 38 ms, deepresearch 50 ms per token"
llm-d,1,8003,tbt_ms,1.8145,18.119,,,,"chat 25 ms, swe 38 ms, deepresearch 50 ms per token"
llm-d,1,8003,tbt_ms,1.8312,18.221,,,,"chat 25 ms, swe 38 ms, deepresearch 50 ms per token"
llm-d,1,8003,tbt_ms,1.8478,18.307,,,,"chat 25 ms, swe 38 ms, deepresearch 50 ms per token"
llm-d,1,8003,tbt_ms,1.8645,18.415,,,,"chat 25 ms, swe 38 ms, deepresearch 50 ms per token"
llm-d,1,8003,tbt_ms,1.8812,18.487,,,,"chat 25 ms, swe 38 ms, deepresearch 50 ms per token"
llm-d,1,8003,tbt_ms,1.8978,18.568,,,,"chat 25 ms, swe 38 ms, deepresearch 50 ms per token"
llm-d,1,8003,tbt_ms,1.9145,18.71,,,,"chat 25 ms, swe 38 ms, deepresearch 50 ms per token"
llm-d,1,8003,tbt_ms,1.9312,18.78,,,,"chat 25 ms, swe 38 ms, deepresearch 50 ms per token"
llm-d,1,8003,tbt_ms,1.9478,18.863,,,,"chat 25 ms, swe 38 ms, deepresearch 50 ms per token"
llm-d,1,8003,tbt_ms,1.9645,18.947,,,,"chat 25 ms, swe 38 ms, deepresearch 50 ms per token"
llm-d,1,8003,tbt_ms,1.9812,19.015,,,,"chat 25 ms, swe 38 ms, deepresearch 50 ms per token"
llm-d,1,8003,tbt_ms,1.9978,19.09,,,,"chat 25 ms, swe 38 ms, deepresearch 50 ms per token"
llm-d,1,8003,tbt_ms,2.0145,19.134,,,,"chat 25 ms, swe 38 ms, deepresearch 50 ms per token"
llm-d,1,8003,tbt_ms,2.0312,19.205,,,,"chat 25 ms, swe 38 ms, deepresearch 50 ms per token"
llm-d,1,8003,tbt_ms,2.0478,19.27,,,,"chat 25 ms, swe 38 ms, deepresearch 50 ms per token"
llm-d,1,8003,tbt_ms,2.0645,19.355,,,,"chat 25 ms, swe 38 ms, deepresearch 50 ms per token"
llm-d,1,8003,tbt_ms,2.0812,19.448,,,,"chat 25 ms, swe 38 ms, deepresearch 50 ms per token"
llm-d,1,8003,tbt_ms,2.0978,19.543,,,,"chat 25 ms, swe 38 ms, deepresearch 50 ms per token"
llm-d,1,8003,tbt_ms,2.1145,19.595,,,,"chat 25 ms, swe 38 ms, deepresearch 50 ms per token"
llm-d,1,8003,tbt_ms,2.1312,19.677,,,,"chat 25 ms, swe 38 ms, deepresearch 50 ms per token"
llm-d,1,8003,tbt_ms,2.1478,19.772,,,,"chat 25 ms, swe 38 ms, deepresearch 50 ms per token"
llm-d,1,8003,tbt_ms,2.1645,19.854,,,,"chat 25 ms, swe 38 ms, deepresearch 50 ms per token"
llm-d,1,8003,tbt_ms,2.1812,19.931,,,,"chat 25 ms, swe 38 ms, deepresearch 50 ms per token"
llm-d,1,8003,tbt_ms,2.1978,19.998,,,,"chat 25 ms, swe 38 ms, deepresearch 50 ms per token"
llm-d,1,8003,tbt_ms,2.2145,20.092,,,,"chat 25 ms, swe 38 ms, deepresearch 50 ms per token"
llm-d,1,8003,tbt_ms,2.2312,20.152,,,,"chat 25 ms, swe 38 ms, deepresearch 50 ms per token"
llm-d,1,8003,tbt_ms,2.2478,20.225,,,,"chat 25 ms, swe 38 ms, deepresearch 50 ms per token"
llm-d,1,8003,tbt_ms,2.2645,20.283,,,,"chat 25 ms, swe 38 ms, deepresearch 50 ms per token"
llm-d,1,8003,tbt_ms,2.2812,20.325,,,,"chat 25 ms, swe 38 ms, deepresearch 50 ms per token"
llm-d,1,8003,tbt_ms,2.2978,20.4,,,,"chat 25 ms, swe 38 ms, deepresearch 50 ms per token"
llm-d,1,8003,tbt_ms,2.3145,20.464,,,,"chat 25 ms, swe 38 ms, deepresearch 50 ms per token"
llm-d,1,8003,tbt_ms,2.3312,20.569,,,,"chat 25 ms, swe 38 ms, deepresearch 50 ms per token"
llm-d,1,8003,tbt_ms,2.3478,20.63,,,,"chat 25 ms, swe 38 ms, deepresearch 50 ms per token"
llm-d,1,8003,tbt_ms,2.3645,20.733,,,,"chat 25 ms, swe 38 ms, deepresearch 50 ms per token"
llm-d,1,8003,tbt_ms,2.3812,20.804,,,,"chat 25 ms, swe 38 ms, deepresearch 50 ms per token"
llm-d,1,8003,tbt_ms,2.3978,20.862,,,,"chat 25 ms, swe 38 ms, deepresearch 50 ms per token"
