arm,req_per_s,met_pct,missed_pct,unfinished_pct,rejected_pct,met_pct_min,met_pct_max,missed_pct_min,missed_pct_max,unfinished_pct_min,unfinished_pct_max,rejected_pct_min,rejected_pct_max,errored_pct,n_arrivals,n_repeats,rule
llm-d,55.0000,23.4884,0.4909,0.7351,75.2857,20.2604,26.7163,0.4214,0.5603,0.6431,0.8271,72.0351,78.5362,0.0020,25367,2,ladder95
llm-d,70.0000,15.7947,1.1518,0.4206,82.6329,13.6565,17.9329,0.9806,1.3230,0.2875,0.5537,80.5327,84.7331,0.0015,32338,2,ladder95
FluidServe,10.0000,99.3600,0.0000,0.6400,0.0000,99.2414,99.4786,0.0000,0.0000,0.5214,0.7586,0.0000,0.0000,0.0000,4608,2,ladder95
FluidServe,15.0000,98.2483,0.0000,1.6865,0.0652,97.9725,98.5241,0.0000,0.0000,1.4759,1.8972,0.0000,0.1303,0.0000,6908,2,ladder95
FluidServe,20.0000,97.8591,0.0000,1.8970,0.2439,97.7669,97.9512,0.0000,0.0000,1.7886,2.0054,0.2276,0.2602,0.0000,9225,2,ladder95
FluidServe,25.0000,95.1175,0.0000,2.2959,2.5866,94.8204,95.4147,0.0000,0.0000,2.2319,2.3599,2.3535,2.8197,0.0000,11520,2,ladder95
FluidServe,35.0000,75.4211,0.1205,2.2710,22.1874,74.6494,76.1928,0.0372,0.2037,2.1348,2.4073,21.1962,23.1786,0.0000,16158,2,ladder95
FluidServe,45.0000,68.3970,0.0627,1.5887,29.9517,68.2195,68.5745,0.0579,0.0674,1.5153,1.6620,29.8523,30.0511,0.0000,20740,2,ladder95
FluidServe,55.0000,51.5523,0.0789,1.5034,46.8653,46.1833,56.9214,0.0789,0.0789,1.4044,1.6025,41.5953,52.1353,0.0000,25342,2,ladder95
FluidServe,70.0000,42.6221,0.1053,1.1525,56.1201,37.9658,47.2785,0.1024,0.1082,0.9242,1.3807,51.6892,60.5511,0.0000,32291,2,ladder95
