arm,run,minute,resident,resident_lo,resident_hi,stat,arrivals_req_s,pearson_r_with_arrivals,rejected_pct,unfinished_pct,repeats
PolyServe,260831_2232_exp109r1_polyservept75_shift,0.0,163.71429302692414,163.71429302692414,163.75286342700323,sum,9.883333333333333,0.7398582070673424,22.238568348078434,0.6156667539952843,2
PolyServe,260831_2232_exp109r1_polyservept75_shift,1.0,187.0031695365906,184.73528170983,187.0031695365906,sum,11.25,0.7398582070673424,22.238568348078434,0.6156667539952843,2
PolyServe,260831_2232_exp109r1_polyservept75_shift,2.0,148.75711133480073,147.83108280499778,148.75711133480073,sum,11.233333333333333,0.7398582070673424,22.238568348078434,0.6156667539952843,2
PolyServe,260831_2232_exp109r1_polyservept75_shift,3.0,182.04865414698918,181.3376769661903,182.04865414698918,sum,10.85,0.7398582070673424,22.238568348078434,0.6156667539952843,2
PolyServe,260831_2232_exp109r1_polyservept75_shift,4.0,431.3820517023405,427.48439262310666,431.3820517023405,sum,11.766666666666667,0.7398582070673424,22.238568348078434,0.6156667539952843,2
PolyServe,260831_2232_exp109r1_polyservept75_shift,5.0,862.8409831047057,862.8409831047057,867.1281322598456,sum,24.816666666666666,0.7398582070673424,22.238568348078434,0.6156667539952843,2
PolyServe,260831_2232_exp109r1_polyservept75_shift,6.0,888.6819962183635,880.8727777282396,888.6819962183635,sum,40.166666666666664,0.7398582070673424,22.238568348078434,0.6156667539952843,2
PolyServe,260831_2232_exp109r1_polyservept75_shift,7.0,890.4183421969412,884.1395217776299,890.4183421969412,sum,38.916666666666664,0.7398582070673424,22.238568348078434,0.6156667539952843,2
PolyServe,260831_2232_exp109r1_polyservept75_shift,8.0,903.1501219789186,902.9516280730566,903.1501219789186,sum,40.46666666666667,0.7398582070673424,22.238568348078434,0.6156667539952843,2
PolyServe,260831_2232_exp109r1_polyservept75_shift,9.0,894.6424912611644,892.0738148609798,894.6424912611644,sum,40.53333333333333,0.7398582070673424,22.238568348078434,0.6156667539952843,2
PolyServe,260831_2232_exp109r1_polyservept75_shift,10.0,596.6692805687587,596.6692805687587,597.7147023399671,sum,36.3,0.7398582070673424,22.238568348078434,0.6156667539952843,2
PolyServe,260831_2232_exp109r1_polyservept75_shift,11.0,487.3244500597319,487.3244500597319,488.7275821844737,sum,20.6,0.7398582070673424,22.238568348078434,0.6156667539952843,2
PolyServe,260831_2232_exp109r1_polyservept75_shift,12.0,583.0017076532047,583.0017076532047,585.541129219532,sum,21.866666666666667,0.7398582070673424,22.238568348078434,0.6156667539952843,2
PolyServe,260831_2232_exp109r1_polyservept75_shift,13.0,402.5365555365881,402.5365555365881,409.42526754935585,sum,26.733333333333334,0.7398582070673424,22.238568348078434,0.6156667539952843,2
PolyServe,260831_2232_exp109r1_polyservept75_shift,14.0,273.25404709974924,265.9082040230433,273.25404709974924,sum,16.45,0.7398582070673424,22.238568348078434,0.6156667539952843,2
PolyServe,260831_2232_exp109r1_polyservept75_shift,15.0,457.09899274905524,453.906800643603,457.09899274905524,sum,14.483333333333333,0.7398582070673424,22.238568348078434,0.6156667539952843,2
PolyServe,260831_2232_exp109r1_polyservept75_shift,16.0,482.089548432827,481.65266239643097,482.089548432827,sum,20.7,0.7398582070673424,22.238568348078434,0.6156667539952843,2
PolyServe,260831_2232_exp109r1_polyservept75_shift,17.0,463.1407094279925,463.1407094279925,466.49310267766316,sum,22.016666666666666,0.7398582070673424,22.238568348078434,0.6156667539952843,2
PolyServe,260831_2232_exp109r1_polyservept75_shift,18.0,478.5486160039902,478.0854159235954,478.5486160039902,sum,16.183333333333334,0.7398582070673424,22.238568348078434,0.6156667539952843,2
PolyServe,260831_2232_exp109r1_polyservept75_shift,19.0,527.2212213039398,527.2212213039398,534.7289485057195,sum,21.416666666666668,0.7398582070673424,22.238568348078434,0.6156667539952843,2
PolyServe,260831_2232_exp109r1_polyservept75_shift,20.0,616.7925874233246,616.7925874233246,617.7642848412196,sum,32.35,0.7398582070673424,22.238568348078434,0.6156667539952843,2
PolyServe,260831_2232_exp109r1_polyservept75_shift,21.0,605.1005499124527,605.1005499124527,606.2828726013502,sum,39.05,0.7398582070673424,22.238568348078434,0.6156667539952843,2
PolyServe,260831_2232_exp109r1_polyservept75_shift,22.0,580.7773526350658,580.7773526350658,587.3286409457525,sum,33.45,0.7398582070673424,22.238568348078434,0.6156667539952843,2
PolyServe,260831_2232_exp109r1_polyservept75_shift,23.0,579.5310031414032,579.5310031414032,583.896189904213,sum,33.53333333333333,0.7398582070673424,22.238568348078434,0.6156667539952843,2
PolyServe,260831_2232_exp109r1_polyservept75_shift,24.0,515.6005309740702,511.5743813594183,515.6005309740702,sum,32.75,0.7398582070673424,22.238568348078434,0.6156667539952843,2
PolyServe,260831_2232_exp109r1_polyservept75_shift,25.0,453.3664105534554,453.3664105534554,454.86287846167886,sum,22.5,0.7398582070673424,22.238568348078434,0.6156667539952843,2
PolyServe,260831_2232_exp109r1_polyservept75_shift,26.0,491.7140309214592,490.74980258544286,491.7140309214592,sum,17.666666666666668,0.7398582070673424,22.238568348078434,0.6156667539952843,2
PolyServe,260831_2232_exp109r1_polyservept75_shift,27.0,528.7905547181765,526.2999300042788,528.7905547181765,sum,22.433333333333334,0.7398582070673424,22.238568348078434,0.6156667539952843,2
PolyServe,260831_2232_exp109r1_polyservept75_shift,28.0,501.69315805037814,499.3778302510579,501.69315805037814,sum,28.633333333333333,0.7398582070673424,22.238568348078434,0.6156667539952843,2
PolyServe,260831_2232_exp109r1_polyservept75_shift,29.0,451.0176085273425,446.3141117970149,451.0176085273425,sum,18.116666666666667,0.7398582070673424,22.238568348078434,0.6156667539952843,2
PolyServe,260831_2232_exp109r1_polyservept75_shift,30.0,580.4031455755234,577.4266319076221,580.4031455755234,sum,14.3,0.7398582070673424,22.238568348078434,0.6156667539952843,2
PolyServe,260831_2232_exp109r1_polyservept75_shift,31.0,696.4149646361668,695.6710499127706,696.4149646361668,sum,22.433333333333334,0.7398582070673424,22.238568348078434,0.6156667539952843,2
PolyServe,260831_2232_exp109r1_polyservept75_shift,32.0,547.4509427070618,547.4509427070618,555.8050826311112,sum,23.683333333333334,0.7398582070673424,22.238568348078434,0.6156667539952843,2
PolyServe,260831_2232_exp109r1_polyservept75_shift,33.0,612.5525767405828,612.5525767405828,620.8718593478203,sum,20.116666666666667,0.7398582070673424,22.238568348078434,0.6156667539952843,2
PolyServe,260831_2232_exp109r1_polyservept75_shift,34.0,869.3409101406733,869.3409101406733,871.4209253549576,sum,25.033333333333335,0.7398582070673424,22.238568348078434,0.6156667539952843,2
PolyServe,260831_2232_exp109r1_polyservept75_shift,35.0,988.5151186704635,987.2527540842691,988.5151186704635,sum,33.7,0.7398582070673424,22.238568348078434,0.6156667539952843,2
PolyServe,260831_2232_exp109r1_polyservept75_shift,36.0,977.4455102761585,977.4455102761585,979.3534949978193,sum,39.11666666666667,0.7398582070673424,22.238568348078434,0.6156667539952843,2
PolyServe,260831_2232_exp109r1_polyservept75_shift,37.0,920.6945354660352,920.6945354660352,930.6862185160318,sum,36.7,0.7398582070673424,22.238568348078434,0.6156667539952843,2
PolyServe,260831_2232_exp109r1_polyservept75_shift,38.0,934.0734161973,934.0734161973,944.3116521954537,sum,34.1,0.7398582070673424,22.238568348078434,0.6156667539952843,2
PolyServe,260831_2232_exp109r1_polyservept75_shift,39.0,848.6132469971974,848.6132469971974,870.852207660675,sum,33.68333333333333,0.7398582070673424,22.238568348078434,0.6156667539952843,2
PolyServe,260831_2232_exp109r1_polyservept75_shift,40.0,621.2719178756079,621.074055103461,621.2719178756079,sum,29.65,0.7398582070673424,22.238568348078434,0.6156667539952843,2
PolyServe,260831_2232_exp109r1_polyservept75_shift,41.0,568.6447847207387,558.8864899714788,568.6447847207387,sum,18.516666666666666,0.7398582070673424,22.238568348078434,0.6156667539952843,2
PolyServe,260831_2232_exp109r1_polyservept75_shift,42.0,789.2974890430769,789.2974890430769,791.1158047238987,sum,24.716666666666665,0.7398582070673424,22.238568348078434,0.6156667539952843,2
PolyServe,260831_2232_exp109r1_polyservept75_shift,43.0,561.0381278077762,561.0381278077762,576.3548780361812,sum,28.3,0.7398582070673424,22.238568348078434,0.6156667539952843,2
PolyServe,260831_2232_exp109r1_polyservept75_shift,44.0,366.50993620157243,366.50993620157243,376.93852824370066,sum,16.333333333333332,0.7398582070673424,22.238568348078434,0.6156667539952843,2
PolyServe,260831_2232_exp109r1_polyservept75_shift,45.0,536.0821384191513,520.771314116319,536.0821384191513,sum,16.283333333333335,0.7398582070673424,22.238568348078434,0.6156667539952843,2
PolyServe,260831_2232_exp109r1_polyservept75_shift,46.0,673.07414402167,665.4494193037351,673.07414402167,sum,23.05,0.7398582070673424,22.238568348078434,0.6156667539952843,2
PolyServe,260831_2232_exp109r1_polyservept75_shift,47.0,679.5418768326442,665.735158153375,679.5418768326442,sum,24.633333333333333,0.7398582070673424,22.238568348078434,0.6156667539952843,2
PolyServe,260831_2232_exp109r1_polyservept75_shift,48.0,611.6618129531543,611.6618129531543,638.5068432847659,sum,23.483333333333334,0.7398582070673424,22.238568348078434,0.6156667539952843,2
PolyServe,260831_2232_exp109r1_polyservept75_shift,49.0,725.0955089290937,725.0955089290937,840.2875162283578,sum,28.566666666666666,0.7398582070673424,22.238568348078434,0.6156667539952843,2
PolyServe,260831_2232_exp109r1_polyservept75_shift,50.0,724.442922659715,724.442922659715,950.4943175395329,sum,39.43333333333333,0.7398582070673424,22.238568348078434,0.6156667539952843,2
PolyServe,260831_2232_exp109r1_polyservept75_shift,51.0,715.9383808493615,715.9383808493615,944.2650763988495,sum,44.75,0.7398582070673424,22.238568348078434,0.6156667539952843,2
PolyServe,260831_2232_exp109r1_polyservept75_shift,52.0,718.0170953671138,718.0170953671138,966.5173033396402,sum,43.666666666666664,0.7398582070673424,22.238568348078434,0.6156667539952843,2
PolyServe,260831_2232_exp109r1_polyservept75_shift,53.0,734.6374070207278,734.6374070207278,965.747200079759,sum,45.05,0.7398582070673424,22.238568348078434,0.6156667539952843,2
PolyServe,260831_2232_exp109r1_polyservept75_shift,54.0,713.9430677612622,713.9430677612622,947.0734137892724,sum,43.35,0.7398582070673424,22.238568348078434,0.6156667539952843,2
PolyServe,260831_2232_exp109r1_polyservept75_shift,55.0,719.1045373519262,719.1045373519262,840.0430691679319,sum,40.68333333333333,0.7398582070673424,22.238568348078434,0.6156667539952843,2
PolyServe,260831_2232_exp109r1_polyservept75_shift,56.0,716.2871178587276,716.2871178587276,768.1514263908068,sum,32.9,0.7398582070673424,22.238568348078434,0.6156667539952843,2
PolyServe,260831_2232_exp109r1_polyservept75_shift,57.0,735.3195199410121,735.3195199410121,862.3835151195526,sum,32.78333333333333,0.7398582070673424,22.238568348078434,0.6156667539952843,2
PolyServe,260831_2232_exp109r1_polyservept75_shift,58.0,687.4051519274711,687.4051519274711,742.5788018544515,sum,37.18333333333333,0.7398582070673424,22.238568348078434,0.6156667539952843,2
PolyServe,260831_2232_exp109r1_polyservept75_shift,59.0,438.5398710648219,438.5398710648219,468.90577108065287,sum,23.65,0.7398582070673424,22.238568348078434,0.6156667539952843,2
Llumnix,260831_2346_exp109r1_slot75_shift,0.0,100.14800229469935,100.14800229469935,100.65448484023413,sum,9.883333333333333,0.7174057706479212,39.00868583865702,0.8756373309687431,2
Llumnix,260831_2346_exp109r1_slot75_shift,1.0,109.19211554129919,107.39531283378602,109.19211554129919,sum,11.25,0.7174057706479212,39.00868583865702,0.8756373309687431,2
Llumnix,260831_2346_exp109r1_slot75_shift,2.0,99.84198937018712,99.84198937018712,100.08769439061483,sum,11.233333333333333,0.7174057706479212,39.00868583865702,0.8756373309687431,2
Llumnix,260831_2346_exp109r1_slot75_shift,3.0,119.73102652629217,119.04909578164418,119.73102652629217,sum,10.85,0.7174057706479212,39.00868583865702,0.8756373309687431,2
Llumnix,260831_2346_exp109r1_slot75_shift,4.0,289.22117413282393,280.825771677494,289.22117413282393,sum,11.766666666666667,0.7174057706479212,39.00868583865702,0.8756373309687431,2
Llumnix,260831_2346_exp109r1_slot75_shift,5.0,857.3116374214491,855.0565345168114,857.3116374214491,sum,24.816666666666666,0.7174057706479212,39.00868583865702,0.8756373309687431,2
Llumnix,260831_2346_exp109r1_slot75_shift,6.0,1173.617911084493,1173.617911084493,1184.7903365453085,sum,40.166666666666664,0.7174057706479212,39.00868583865702,0.8756373309687431,2
Llumnix,260831_2346_exp109r1_slot75_shift,7.0,1273.1023739814757,1267.5428865393003,1273.1023739814757,sum,38.916666666666664,0.7174057706479212,39.00868583865702,0.8756373309687431,2
Llumnix,260831_2346_exp109r1_slot75_shift,8.0,1457.5998877525328,1453.1425406098365,1457.5998877525328,sum,40.46666666666667,0.7174057706479212,39.00868583865702,0.8756373309687431,2
Llumnix,260831_2346_exp109r1_slot75_shift,9.0,1443.7935637791952,1443.7935637791952,1445.4099863131842,sum,40.53333333333333,0.7174057706479212,39.00868583865702,0.8756373309687431,2
Llumnix,260831_2346_exp109r1_slot75_shift,10.0,553.9665042360623,553.9665042360623,562.8352969606717,sum,36.3,0.7174057706479212,39.00868583865702,0.8756373309687431,2
Llumnix,260831_2346_exp109r1_slot75_shift,11.0,284.9235834757487,281.4332887927691,284.9235834757487,sum,20.6,0.7174057706479212,39.00868583865702,0.8756373309687431,2
Llumnix,260831_2346_exp109r1_slot75_shift,12.0,416.91889468828833,405.20716515382134,416.91889468828833,sum,21.866666666666667,0.7174057706479212,39.00868583865702,0.8756373309687431,2
Llumnix,260831_2346_exp109r1_slot75_shift,13.0,242.32108742396036,242.32108742396036,246.76639889876049,sum,26.733333333333334,0.7174057706479212,39.00868583865702,0.8756373309687431,2
Llumnix,260831_2346_exp109r1_slot75_shift,14.0,155.1959931532542,155.1959931532542,159.76011938254038,sum,16.45,0.7174057706479212,39.00868583865702,0.8756373309687431,2
Llumnix,260831_2346_exp109r1_slot75_shift,15.0,620.1029501120249,611.9580989599227,620.1029501120249,sum,14.483333333333333,0.7174057706479212,39.00868583865702,0.8756373309687431,2
Llumnix,260831_2346_exp109r1_slot75_shift,16.0,825.9042617519697,825.9042617519697,826.3796762029331,sum,20.7,0.7174057706479212,39.00868583865702,0.8756373309687431,2
Llumnix,260831_2346_exp109r1_slot75_shift,17.0,806.6290746291478,795.4639158844948,806.6290746291478,sum,22.016666666666666,0.7174057706479212,39.00868583865702,0.8756373309687431,2
Llumnix,260831_2346_exp109r1_slot75_shift,18.0,845.1521092772484,826.6456584811211,845.1521092772484,sum,16.183333333333334,0.7174057706479212,39.00868583865702,0.8756373309687431,2
Llumnix,260831_2346_exp109r1_slot75_shift,19.0,832.481666870912,830.5081660032272,832.481666870912,sum,21.416666666666668,0.7174057706479212,39.00868583865702,0.8756373309687431,2
Llumnix,260831_2346_exp109r1_slot75_shift,20.0,876.832337129116,872.687641108036,876.832337129116,sum,32.35,0.7174057706479212,39.00868583865702,0.8756373309687431,2
Llumnix,260831_2346_exp109r1_slot75_shift,21.0,941.5524837732316,928.9813595056535,941.5524837732316,sum,39.05,0.7174057706479212,39.00868583865702,0.8756373309687431,2
Llumnix,260831_2346_exp109r1_slot75_shift,22.0,897.2590726455053,892.2756411870321,897.2590726455053,sum,33.45,0.7174057706479212,39.00868583865702,0.8756373309687431,2
Llumnix,260831_2346_exp109r1_slot75_shift,23.0,879.0586583137512,870.7822811404865,879.0586583137512,sum,33.53333333333333,0.7174057706479212,39.00868583865702,0.8756373309687431,2
Llumnix,260831_2346_exp109r1_slot75_shift,24.0,835.1887756586075,835.0416673700015,835.1887756586075,sum,32.75,0.7174057706479212,39.00868583865702,0.8756373309687431,2
Llumnix,260831_2346_exp109r1_slot75_shift,25.0,822.3780475656192,803.3204775730769,822.3780475656192,sum,22.5,0.7174057706479212,39.00868583865702,0.8756373309687431,2
Llumnix,260831_2346_exp109r1_slot75_shift,26.0,846.2402725696563,846.2402725696563,852.8434969623884,sum,17.666666666666668,0.7174057706479212,39.00868583865702,0.8756373309687431,2
Llumnix,260831_2346_exp109r1_slot75_shift,27.0,819.4432193358739,818.899843509992,819.4432193358739,sum,22.433333333333334,0.7174057706479212,39.00868583865702,0.8756373309687431,2
Llumnix,260831_2346_exp109r1_slot75_shift,28.0,785.542650504907,764.905651609103,785.542650504907,sum,28.633333333333333,0.7174057706479212,39.00868583865702,0.8756373309687431,2
Llumnix,260831_2346_exp109r1_slot75_shift,29.0,782.7591256419818,766.4448064645131,782.7591256419818,sum,18.116666666666667,0.7174057706479212,39.00868583865702,0.8756373309687431,2
Llumnix,260831_2346_exp109r1_slot75_shift,30.0,812.686539653937,812.686539653937,833.4626754244168,sum,14.3,0.7174057706479212,39.00868583865702,0.8756373309687431,2
Llumnix,260831_2346_exp109r1_slot75_shift,31.0,827.2915368000665,827.2915368000665,878.4932993213336,sum,22.433333333333334,0.7174057706479212,39.00868583865702,0.8756373309687431,2
Llumnix,260831_2346_exp109r1_slot75_shift,32.0,560.509351682663,560.509351682663,585.0303153951963,sum,23.683333333333334,0.7174057706479212,39.00868583865702,0.8756373309687431,2
