arm,engine_rank,engine_port,minute,tbt_ms,smoothing_s,run,source
FluidServe,1,8002,2.5972,28.1208,120,exp109r1,"vllm:inter_token_latency_seconds_{sum,count}, per engine, per second"
FluidServe,1,8002,2.6139,28.3559,120,exp109r1,"vllm:inter_token_latency_seconds_{sum,count}, per engine, per second"
FluidServe,1,8002,2.6305,28.4525,120,exp109r1,"vllm:inter_token_latency_seconds_{sum,count}, per engine, per second"
FluidServe,1,8002,2.6472,28.5531,120,exp109r1,"vllm:inter_token_latency_seconds_{sum,count}, per engine, per second"
FluidServe,1,8002,2.6639,28.6556,120,exp109r1,"vllm:inter_token_latency_seconds_{sum,count}, per engine, per second"
FluidServe,1,8002,2.6805,28.7629,120,exp109r1,"vllm:inter_token_latency_seconds_{sum,count}, per engine, per second"
FluidServe,1,8002,2.6972,28.8052,120,exp109r1,"vllm:inter_token_latency_seconds_{sum,count}, per engine, per second"
FluidServe,1,8002,2.7139,28.8068,120,exp109r1,"vllm:inter_token_latency_seconds_{sum,count}, per engine, per second"
FluidServe,1,8002,2.7305,28.7655,120,exp109r1,"vllm:inter_token_latency_seconds_{sum,count}, per engine, per second"
FluidServe,1,8002,2.7472,28.7814,120,exp109r1,"vllm:inter_token_latency_seconds_{sum,count}, per engine, per second"
FluidServe,1,8002,2.7639,28.7951,120,exp109r1,"vllm:inter_token_latency_seconds_{sum,count}, per engine, per second"
FluidServe,1,8002,2.7805,28.7446,120,exp109r1,"vllm:inter_token_latency_seconds_{sum,count}, per engine, per second"
FluidServe,1,8002,2.7972,28.7444,120,exp109r1,"vllm:inter_token_latency_seconds_{sum,count}, per engine, per second"
FluidServe,1,8002,2.8139,28.7565,120,exp109r1,"vllm:inter_token_latency_seconds_{sum,count}, per engine, per second"
FluidServe,1,8002,2.8305,28.7201,120,exp109r1,"vllm:inter_token_latency_seconds_{sum,count}, per engine, per second"
FluidServe,1,8002,2.8472,28.7421,120,exp109r1,"vllm:inter_token_latency_seconds_{sum,count}, per engine, per second"
FluidServe,1,8002,2.8639,28.7489,120,exp109r1,"vllm:inter_token_latency_seconds_{sum,count}, per engine, per second"
FluidServe,1,8002,2.8805,28.7755,120,exp109r1,"vllm:inter_token_latency_seconds_{sum,count}, per engine, per second"
FluidServe,1,8002,2.8972,28.8548,120,exp109r1,"vllm:inter_token_latency_seconds_{sum,count}, per engine, per second"
FluidServe,1,8002,2.9139,28.915,120,exp109r1,"vllm:inter_token_latency_seconds_{sum,count}, per engine, per second"
FluidServe,1,8002,2.9305,28.9049,120,exp109r1,"vllm:inter_token_latency_seconds_{sum,count}, per engine, per second"
FluidServe,1,8002,2.9472,28.8758,120,exp109r1,"vllm:inter_token_latency_seconds_{sum,count}, per engine, per second"
FluidServe,1,8002,2.9639,28.8917,120,exp109r1,"vllm:inter_token_latency_seconds_{sum,count}, per engine, per second"
FluidServe,1,8002,2.9805,28.9142,120,exp109r1,"vllm:inter_token_latency_seconds_{sum,count}, per engine, per second"
