series,minute,value,smoothing_s,bytes_per_token
decode_kv_gb_s,2.04013,1.70305,20,327680
decode_kv_gb_s,2.05680,1.69116,20,327680
decode_kv_gb_s,2.07346,1.66194,20,327680
decode_kv_gb_s,2.09013,1.62919,20,327680
decode_kv_gb_s,2.10680,1.60701,20,327680
decode_kv_gb_s,2.12346,1.57099,20,327680
decode_kv_gb_s,2.14013,1.55325,20,327680
decode_kv_gb_s,2.15680,1.53642,20,327680
decode_kv_gb_s,2.17346,1.52987,20,327680
decode_kv_gb_s,2.19013,1.51737,20,327680
decode_kv_gb_s,2.20680,1.49520,20,327680
decode_kv_gb_s,2.22346,1.48111,20,327680
decode_kv_gb_s,2.24013,1.47464,20,327680
decode_kv_gb_s,2.25680,1.46770,20,327680
decode_kv_gb_s,2.27346,1.45771,20,327680
decode_kv_gb_s,2.29013,1.44585,20,327680
decode_kv_gb_s,2.30680,1.44620,20,327680
decode_kv_gb_s,2.32346,1.45656,20,327680
decode_kv_gb_s,2.34013,1.46475,20,327680
decode_kv_gb_s,2.35680,1.46337,20,327680
decode_kv_gb_s,2.37346,1.47053,20,327680
decode_kv_gb_s,2.39013,1.47569,20,327680
decode_kv_gb_s,2.40680,1.47060,20,327680
decode_kv_gb_s,2.42346,1.46865,20,327680
decode_kv_gb_s,2.44013,1.46475,20,327680
decode_kv_gb_s,2.45680,1.46655,20,327680
decode_kv_gb_s,2.47346,1.46551,20,327680
decode_kv_gb_s,2.49013,1.46111,20,327680
decode_kv_gb_s,2.50680,1.46400,20,327680
decode_kv_gb_s,2.52346,1.45323,20,327680
decode_kv_gb_s,2.54013,1.45594,20,327680
decode_kv_gb_s,2.55680,1.45272,20,327680
decode_kv_gb_s,2.57346,1.44202,20,327680
decode_kv_gb_s,2.59013,1.44228,20,327680
decode_kv_gb_s,2.60680,1.45338,20,327680
decode_kv_gb_s,2.62346,1.47354,20,327680
decode_kv_gb_s,2.64013,1.47120,20,327680
decode_kv_gb_s,2.65680,1.47931,20,327680
decode_kv_gb_s,2.67346,1.49027,20,327680
decode_kv_gb_s,2.69013,1.51173,20,327680
decode_kv_gb_s,2.70680,1.52732,20,327680
decode_kv_gb_s,2.72346,1.53238,20,327680
decode_kv_gb_s,2.74013,1.54855,20,327680
decode_kv_gb_s,2.75680,1.55081,20,327680
decode_kv_gb_s,2.77346,1.56109,20,327680
decode_kv_gb_s,2.79013,1.55865,20,327680
decode_kv_gb_s,2.80680,1.55829,20,327680
decode_kv_gb_s,2.82346,1.54815,20,327680
decode_kv_gb_s,2.84013,1.54865,20,327680
decode_kv_gb_s,2.85680,1.56780,20,327680
decode_kv_gb_s,2.87346,1.57714,20,327680
decode_kv_gb_s,2.89013,1.57986,20,327680
decode_kv_gb_s,2.90680,1.59135,20,327680
decode_kv_gb_s,2.92346,1.59165,20,327680
decode_kv_gb_s,2.94013,1.59086,20,327680
decode_kv_gb_s,2.95680,1.58178,20,327680
decode_kv_gb_s,2.97346,1.58504,20,327680
decode_kv_gb_s,2.99013,1.57614,20,327680
decode_kv_gb_s,3.00680,1.54999,20,327680
decode_kv_gb_s,3.02346,1.52338,20,327680
decode_kv_gb_s,3.04013,1.51002,20,327680
decode_kv_gb_s,3.05680,1.50393,20,327680
decode_kv_gb_s,3.07346,1.49173,20,327680
decode_kv_gb_s,3.09013,1.48991,20,327680
decode_kv_gb_s,3.10680,1.48645,20,327680
decode_kv_gb_s,3.12346,1.48564,20,327680
decode_kv_gb_s,3.14013,1.48862,20,327680
decode_kv_gb_s,3.15680,1.49005,20,327680
decode_kv_gb_s,3.17346,1.48726,20,327680
decode_kv_gb_s,3.19013,1.47856,20,327680
decode_kv_gb_s,3.20680,1.45936,20,327680
decode_kv_gb_s,3.22346,1.45941,20,327680
decode_kv_gb_s,3.24013,1.44538,20,327680
decode_kv_gb_s,3.25680,1.44025,20,327680
decode_kv_gb_s,3.27346,1.41967,20,327680
decode_kv_gb_s,3.29013,1.40761,20,327680
decode_kv_gb_s,3.30680,1.39098,20,327680
decode_kv_gb_s,3.32346,1.38317,20,327680
decode_kv_gb_s,3.34013,1.38189,20,327680
decode_kv_gb_s,3.35680,1.37489,20,327680
decode_kv_gb_s,3.37346,1.36923,20,327680
