arm,engine_rank,engine_port,minute,tbt_ms,smoothing_s,run,source
FluidServe,1,8002,0.4805,27.2494,120,exp109r1_fsv3capgnofrct75|exp138r1_noaffnocaphour,"vllm:inter_token_latency_seconds_{sum,count}, per engine, per second"
FluidServe,1,8002,0.4972,27.2895,120,exp109r1_fsv3capgnofrct75|exp138r1_noaffnocaphour,"vllm:inter_token_latency_seconds_{sum,count}, per engine, per second"
FluidServe,1,8002,0.5139,27.2765,120,exp109r1_fsv3capgnofrct75|exp138r1_noaffnocaphour,"vllm:inter_token_latency_seconds_{sum,count}, per engine, per second"
FluidServe,1,8002,0.5305,27.2796,120,exp109r1_fsv3capgnofrct75|exp138r1_noaffnocaphour,"vllm:inter_token_latency_seconds_{sum,count}, per engine, per second"
FluidServe,1,8002,0.5472,27.2296,120,exp109r1_fsv3capgnofrct75|exp138r1_noaffnocaphour,"vllm:inter_token_latency_seconds_{sum,count}, per engine, per second"
FluidServe,1,8002,0.5639,27.2894,120,exp109r1_fsv3capgnofrct75|exp138r1_noaffnocaphour,"vllm:inter_token_latency_seconds_{sum,count}, per engine, per second"
FluidServe,1,8002,0.5805,27.2826,120,exp109r1_fsv3capgnofrct75|exp138r1_noaffnocaphour,"vllm:inter_token_latency_seconds_{sum,count}, per engine, per second"
FluidServe,1,8002,0.5972,27.2739,120,exp109r1_fsv3capgnofrct75|exp138r1_noaffnocaphour,"vllm:inter_token_latency_seconds_{sum,count}, per engine, per second"
FluidServe,1,8002,0.6139,27.2861,120,exp109r1_fsv3capgnofrct75|exp138r1_noaffnocaphour,"vllm:inter_token_latency_seconds_{sum,count}, per engine, per second"
FluidServe,1,8002,0.6305,27.3008,120,exp109r1_fsv3capgnofrct75|exp138r1_noaffnocaphour,"vllm:inter_token_latency_seconds_{sum,count}, per engine, per second"
FluidServe,1,8002,0.6472,27.353,120,exp109r1_fsv3capgnofrct75|exp138r1_noaffnocaphour,"vllm:inter_token_latency_seconds_{sum,count}, per engine, per second"
FluidServe,1,8002,0.6639,27.3196,120,exp109r1_fsv3capgnofrct75|exp138r1_noaffnocaphour,"vllm:inter_token_latency_seconds_{sum,count}, per engine, per second"
FluidServe,1,8002,0.6805,27.3323,120,exp109r1_fsv3capgnofrct75|exp138r1_noaffnocaphour,"vllm:inter_token_latency_seconds_{sum,count}, per engine, per second"
FluidServe,1,8002,0.6972,27.316,120,exp109r1_fsv3capgnofrct75|exp138r1_noaffnocaphour,"vllm:inter_token_latency_seconds_{sum,count}, per engine, per second"
FluidServe,1,8002,0.7139,27.3601,120,exp109r1_fsv3capgnofrct75|exp138r1_noaffnocaphour,"vllm:inter_token_latency_seconds_{sum,count}, per engine, per second"
FluidServe,1,8002,0.7305,27.4012,120,exp109r1_fsv3capgnofrct75|exp138r1_noaffnocaphour,"vllm:inter_token_latency_seconds_{sum,count}, per engine, per second"
FluidServe,1,8002,0.7472,27.4225,120,exp109r1_fsv3capgnofrct75|exp138r1_noaffnocaphour,"vllm:inter_token_latency_seconds_{sum,count}, per engine, per second"
FluidServe,1,8002,0.7639,27.4616,120,exp109r1_fsv3capgnofrct75|exp138r1_noaffnocaphour,"vllm:inter_token_latency_seconds_{sum,count}, per engine, per second"
FluidServe,1,8002,0.7805,27.5084,120,exp109r1_fsv3capgnofrct75|exp138r1_noaffnocaphour,"vllm:inter_token_latency_seconds_{sum,count}, per engine, per second"
FluidServe,1,8002,0.7972,27.5859,120,exp109r1_fsv3capgnofrct75|exp138r1_noaffnocaphour,"vllm:inter_token_latency_seconds_{sum,count}, per engine, per second"
FluidServe,1,8002,0.8139,27.6179,120,exp109r1_fsv3capgnofrct75|exp138r1_noaffnocaphour,"vllm:inter_token_latency_seconds_{sum,count}, per engine, per second"
FluidServe,1,8002,0.8305,27.7454,120,exp109r1_fsv3capgnofrct75|exp138r1_noaffnocaphour,"vllm:inter_token_latency_seconds_{sum,count}, per engine, per second"
FluidServe,1,8002,0.8472,27.8056,120,exp109r1_fsv3capgnofrct75|exp138r1_noaffnocaphour,"vllm:inter_token_latency_seconds_{sum,count}, per engine, per second"
FluidServe,1,8002,0.8639,27.824,120,exp109r1_fsv3capgnofrct75|exp138r1_noaffnocaphour,"vllm:inter_token_latency_seconds_{sum,count}, per engine, per second"
FluidServe,1,8002,0.8805,27.8511,120,exp109r1_fsv3capgnofrct75|exp138r1_noaffnocaphour,"vllm:inter_token_latency_seconds_{sum,count}, per engine, per second"
FluidServe,1,8002,0.8972,27.8896,120,exp109r1_fsv3capgnofrct75|exp138r1_noaffnocaphour,"vllm:inter_token_latency_seconds_{sum,count}, per engine, per second"
FluidServe,1,8002,0.9139,27.9135,120,exp109r1_fsv3capgnofrct75|exp138r1_noaffnocaphour,"vllm:inter_token_latency_seconds_{sum,count}, per engine, per second"
FluidServe,1,8002,0.9305,27.9556,120,exp109r1_fsv3capgnofrct75|exp138r1_noaffnocaphour,"vllm:inter_token_latency_seconds_{sum,count}, per engine, per second"
FluidServe,1,8002,0.9472,28.0573,120,exp109r1_fsv3capgnofrct75|exp138r1_noaffnocaphour,"vllm:inter_token_latency_seconds_{sum,count}, per engine, per second"
FluidServe,1,8002,0.9639,28.0614,120,exp109r1_fsv3capgnofrct75|exp138r1_noaffnocaphour,"vllm:inter_token_latency_seconds_{sum,count}, per engine, per second"
FluidServe,1,8002,0.9805,28.0724,120,exp109r1_fsv3capgnofrct75|exp138r1_noaffnocaphour,"vllm:inter_token_latency_seconds_{sum,count}, per engine, per second"
FluidServe,1,8002,0.9972,28.0639,120,exp109r1_fsv3capgnofrct75|exp138r1_noaffnocaphour,"vllm:inter_token_latency_seconds_{sum,count}, per engine, per second"
FluidServe,1,8002,1.0139,28.0961,120,exp109r1_fsv3capgnofrct75|exp138r1_noaffnocaphour,"vllm:inter_token_latency_seconds_{sum,count}, per engine, per second"
FluidServe,1,8002,1.0305,28.1286,120,exp109r1_fsv3capgnofrct75|exp138r1_noaffnocaphour,"vllm:inter_token_latency_seconds_{sum,count}, per engine, per second"
FluidServe,1,8002,1.0472,28.1586,120,exp109r1_fsv3capgnofrct75|exp138r1_noaffnocaphour,"vllm:inter_token_latency_seconds_{sum,count}, per engine, per second"
FluidServe,1,8002,1.0639,28.1115,120,exp109r1_fsv3capgnofrct75|exp138r1_noaffnocaphour,"vllm:inter_token_latency_seconds_{sum,count}, per engine, per second"
FluidServe,1,8002,1.0805,28.1009,120,exp109r1_fsv3capgnofrct75|exp138r1_noaffnocaphour,"vllm:inter_token_latency_seconds_{sum,count}, per engine, per second"
FluidServe,1,8002,1.0972,28.109,120,exp109r1_fsv3capgnofrct75|exp138r1_noaffnocaphour,"vllm:inter_token_latency_seconds_{sum,count}, per engine, per second"
FluidServe,1,8002,1.1139,28.0484,120,exp109r1_fsv3capgnofrct75|exp138r1_noaffnocaphour,"vllm:inter_token_latency_seconds_{sum,count}, per engine, per second"
FluidServe,1,8002,1.1305,27.9945,120,exp109r1_fsv3capgnofrct75|exp138r1_noaffnocaphour,"vllm:inter_token_latency_seconds_{sum,count}, per engine, per second"
FluidServe,1,8002,1.1472,27.9489,120,exp109r1_fsv3capgnofrct75|exp138r1_noaffnocaphour,"vllm:inter_token_latency_seconds_{sum,count}, per engine, per second"
FluidServe,1,8002,1.1639,27.8856,120,exp109r1_fsv3capgnofrct75|exp138r1_noaffnocaphour,"vllm:inter_token_latency_seconds_{sum,count}, per engine, per second"
FluidServe,1,8002,1.1805,27.7873,120,exp109r1_fsv3capgnofrct75|exp138r1_noaffnocaphour,"vllm:inter_token_latency_seconds_{sum,count}, per engine, per second"
FluidServe,1,8002,1.1972,27.8081,120,exp109r1_fsv3capgnofrct75|exp138r1_noaffnocaphour,"vllm:inter_token_latency_seconds_{sum,count}, per engine, per second"
FluidServe,1,8002,1.2139,27.7303,120,exp109r1_fsv3capgnofrct75|exp138r1_noaffnocaphour,"vllm:inter_token_latency_seconds_{sum,count}, per engine, per second"
FluidServe,1,8002,1.2305,27.6954,120,exp109r1_fsv3capgnofrct75|exp138r1_noaffnocaphour,"vllm:inter_token_latency_seconds_{sum,count}, per engine, per second"
FluidServe,1,8002,1.2472,27.6842,120,exp109r1_fsv3capgnofrct75|exp138r1_noaffnocaphour,"vllm:inter_token_latency_seconds_{sum,count}, per engine, per second"
FluidServe,1,8002,1.2639,27.7286,120,exp109r1_fsv3capgnofrct75|exp138r1_noaffnocaphour,"vllm:inter_token_latency_seconds_{sum,count}, per engine, per second"
FluidServe,1,8002,1.2805,27.723,120,exp109r1_fsv3capgnofrct75|exp138r1_noaffnocaphour,"vllm:inter_token_latency_seconds_{sum,count}, per engine, per second"
FluidServe,1,8002,1.2972,27.7514,120,exp109r1_fsv3capgnofrct75|exp138r1_noaffnocaphour,"vllm:inter_token_latency_seconds_{sum,count}, per engine, per second"
FluidServe,1,8002,1.3139,27.8106,120,exp109r1_fsv3capgnofrct75|exp138r1_noaffnocaphour,"vllm:inter_token_latency_seconds_{sum,count}, per engine, per second"
FluidServe,1,8002,1.3305,27.8493,120,exp109r1_fsv3capgnofrct75|exp138r1_noaffnocaphour,"vllm:inter_token_latency_seconds_{sum,count}, per engine, per second"
FluidServe,1,8002,1.3472,27.8874,120,exp109r1_fsv3capgnofrct75|exp138r1_noaffnocaphour,"vllm:inter_token_latency_seconds_{sum,count}, per engine, per second"
FluidServe,1,8002,1.3639,27.8606,120,exp109r1_fsv3capgnofrct75|exp138r1_noaffnocaphour,"vllm:inter_token_latency_seconds_{sum,count}, per engine, per second"
FluidServe,1,8002,1.3805,27.8215,120,exp109r1_fsv3capgnofrct75|exp138r1_noaffnocaphour,"vllm:inter_token_latency_seconds_{sum,count}, per engine, per second"
FluidServe,1,8002,1.3972,27.8712,120,exp109r1_fsv3capgnofrct75|exp138r1_noaffnocaphour,"vllm:inter_token_latency_seconds_{sum,count}, per engine, per second"
FluidServe,1,8002,1.4139,27.8536,120,exp109r1_fsv3capgnofrct75|exp138r1_noaffnocaphour,"vllm:inter_token_latency_seconds_{sum,count}, per engine, per second"
FluidServe,1,8002,1.4305,27.875,120,exp109r1_fsv3capgnofrct75|exp138r1_noaffnocaphour,"vllm:inter_token_latency_seconds_{sum,count}, per engine, per second"
FluidServe,1,8002,1.4472,27.8996,120,exp109r1_fsv3capgnofrct75|exp138r1_noaffnocaphour,"vllm:inter_token_latency_seconds_{sum,count}, per engine, per second"
FluidServe,1,8002,1.4639,27.9098,120,exp109r1_fsv3capgnofrct75|exp138r1_noaffnocaphour,"vllm:inter_token_latency_seconds_{sum,count}, per engine, per second"
FluidServe,1,8002,1.4805,27.9365,120,exp109r1_fsv3capgnofrct75|exp138r1_noaffnocaphour,"vllm:inter_token_latency_seconds_{sum,count}, per engine, per second"
FluidServe,1,8002,1.4972,27.9463,120,exp109r1_fsv3capgnofrct75|exp138r1_noaffnocaphour,"vllm:inter_token_latency_seconds_{sum,count}, per engine, per second"
FluidServe,1,8002,1.5139,27.9623,120,exp109r1_fsv3capgnofrct75|exp138r1_noaffnocaphour,"vllm:inter_token_latency_seconds_{sum,count}, per engine, per second"
FluidServe,1,8002,1.5305,27.9909,120,exp109r1_fsv3capgnofrct75|exp138r1_noaffnocaphour,"vllm:inter_token_latency_seconds_{sum,count}, per engine, per second"
FluidServe,1,8002,1.5472,28.0865,120,exp109r1_fsv3capgnofrct75|exp138r1_noaffnocaphour,"vllm:inter_token_latency_seconds_{sum,count}, per engine, per second"
FluidServe,1,8002,1.5639,28.0529,120,exp109r1_fsv3capgnofrct75|exp138r1_noaffnocaphour,"vllm:inter_token_latency_seconds_{sum,count}, per engine, per second"
FluidServe,1,8002,1.5805,28.0719,120,exp109r1_fsv3capgnofrct75|exp138r1_noaffnocaphour,"vllm:inter_token_latency_seconds_{sum,count}, per engine, per second"
FluidServe,1,8002,1.5972,28.0902,120,exp109r1_fsv3capgnofrct75|exp138r1_noaffnocaphour,"vllm:inter_token_latency_seconds_{sum,count}, per engine, per second"
FluidServe,1,8002,1.6139,28.1181,120,exp109r1_fsv3capgnofrct75|exp138r1_noaffnocaphour,"vllm:inter_token_latency_seconds_{sum,count}, per engine, per second"
FluidServe,1,8002,1.6305,28.1246,120,exp109r1_fsv3capgnofrct75|exp138r1_noaffnocaphour,"vllm:inter_token_latency_seconds_{sum,count}, per engine, per second"
FluidServe,1,8002,1.6472,28.1497,120,exp109r1_fsv3capgnofrct75|exp138r1_noaffnocaphour,"vllm:inter_token_latency_seconds_{sum,count}, per engine, per second"
FluidServe,1,8002,1.6639,28.143,120,exp109r1_fsv3capgnofrct75|exp138r1_noaffnocaphour,"vllm:inter_token_latency_seconds_{sum,count}, per engine, per second"
FluidServe,1,8002,1.6805,28.137,120,exp109r1_fsv3capgnofrct75|exp138r1_noaffnocaphour,"vllm:inter_token_latency_seconds_{sum,count}, per engine, per second"
FluidServe,1,8002,1.6972,28.1256,120,exp109r1_fsv3capgnofrct75|exp138r1_noaffnocaphour,"vllm:inter_token_latency_seconds_{sum,count}, per engine, per second"
FluidServe,1,8002,1.7139,28.1388,120,exp109r1_fsv3capgnofrct75|exp138r1_noaffnocaphour,"vllm:inter_token_latency_seconds_{sum,count}, per engine, per second"
FluidServe,1,8002,1.7305,28.0951,120,exp109r1_fsv3capgnofrct75|exp138r1_noaffnocaphour,"vllm:inter_token_latency_seconds_{sum,count}, per engine, per second"
FluidServe,1,8002,1.7472,28.1114,120,exp109r1_fsv3capgnofrct75|exp138r1_noaffnocaphour,"vllm:inter_token_latency_seconds_{sum,count}, per engine, per second"
FluidServe,1,8002,1.7639,28.0814,120,exp109r1_fsv3capgnofrct75|exp138r1_noaffnocaphour,"vllm:inter_token_latency_seconds_{sum,count}, per engine, per second"
FluidServe,1,8002,1.7805,28.0588,120,exp109r1_fsv3capgnofrct75|exp138r1_noaffnocaphour,"vllm:inter_token_latency_seconds_{sum,count}, per engine, per second"
FluidServe,1,8002,1.7972,28.0277,120,exp109r1_fsv3capgnofrct75|exp138r1_noaffnocaphour,"vllm:inter_token_latency_seconds_{sum,count}, per engine, per second"
FluidServe,1,8002,1.8139,28.0072,120,exp109r1_fsv3capgnofrct75|exp138r1_noaffnocaphour,"vllm:inter_token_latency_seconds_{sum,count}, per engine, per second"
FluidServe,1,8002,1.8305,27.9565,120,exp109r1_fsv3capgnofrct75|exp138r1_noaffnocaphour,"vllm:inter_token_latency_seconds_{sum,count}, per engine, per second"
FluidServe,1,8002,1.8472,27.9385,120,exp109r1_fsv3capgnofrct75|exp138r1_noaffnocaphour,"vllm:inter_token_latency_seconds_{sum,count}, per engine, per second"
FluidServe,1,8002,1.8639,27.9341,120,exp109r1_fsv3capgnofrct75|exp138r1_noaffnocaphour,"vllm:inter_token_latency_seconds_{sum,count}, per engine, per second"
FluidServe,1,8002,1.8805,27.9765,120,exp109r1_fsv3capgnofrct75|exp138r1_noaffnocaphour,"vllm:inter_token_latency_seconds_{sum,count}, per engine, per second"
FluidServe,1,8002,1.8972,27.9337,120,exp109r1_fsv3capgnofrct75|exp138r1_noaffnocaphour,"vllm:inter_token_latency_seconds_{sum,count}, per engine, per second"
FluidServe,1,8002,1.9139,27.9492,120,exp109r1_fsv3capgnofrct75|exp138r1_noaffnocaphour,"vllm:inter_token_latency_seconds_{sum,count}, per engine, per second"
FluidServe,1,8002,1.9305,27.9178,120,exp109r1_fsv3capgnofrct75|exp138r1_noaffnocaphour,"vllm:inter_token_latency_seconds_{sum,count}, per engine, per second"
FluidServe,1,8002,1.9472,27.8807,120,exp109r1_fsv3capgnofrct75|exp138r1_noaffnocaphour,"vllm:inter_token_latency_seconds_{sum,count}, per engine, per second"
FluidServe,1,8002,1.9639,27.9369,120,exp109r1_fsv3capgnofrct75|exp138r1_noaffnocaphour,"vllm:inter_token_latency_seconds_{sum,count}, per engine, per second"
FluidServe,1,8002,1.9805,27.9767,120,exp109r1_fsv3capgnofrct75|exp138r1_noaffnocaphour,"vllm:inter_token_latency_seconds_{sum,count}, per engine, per second"
FluidServe,1,8002,1.9972,27.9511,120,exp109r1_fsv3capgnofrct75|exp138r1_noaffnocaphour,"vllm:inter_token_latency_seconds_{sum,count}, per engine, per second"
FluidServe,1,8002,2.0139,27.9013,120,exp109r1_fsv3capgnofrct75|exp138r1_noaffnocaphour,"vllm:inter_token_latency_seconds_{sum,count}, per engine, per second"
FluidServe,1,8002,2.0305,27.8765,120,exp109r1_fsv3capgnofrct75|exp138r1_noaffnocaphour,"vllm:inter_token_latency_seconds_{sum,count}, per engine, per second"
FluidServe,1,8002,2.0472,27.845,120,exp109r1_fsv3capgnofrct75|exp138r1_noaffnocaphour,"vllm:inter_token_latency_seconds_{sum,count}, per engine, per second"
FluidServe,1,8002,2.0639,27.8879,120,exp109r1_fsv3capgnofrct75|exp138r1_noaffnocaphour,"vllm:inter_token_latency_seconds_{sum,count}, per engine, per second"
FluidServe,1,8002,2.0805,27.9057,120,exp109r1_fsv3capgnofrct75|exp138r1_noaffnocaphour,"vllm:inter_token_latency_seconds_{sum,count}, per engine, per second"
FluidServe,1,8002,2.0972,27.9356,120,exp109r1_fsv3capgnofrct75|exp138r1_noaffnocaphour,"vllm:inter_token_latency_seconds_{sum,count}, per engine, per second"
FluidServe,1,8002,2.1139,27.8983,120,exp109r1_fsv3capgnofrct75|exp138r1_noaffnocaphour,"vllm:inter_token_latency_seconds_{sum,count}, per engine, per second"
FluidServe,1,8002,2.1305,27.9219,120,exp109r1_fsv3capgnofrct75|exp138r1_noaffnocaphour,"vllm:inter_token_latency_seconds_{sum,count}, per engine, per second"
FluidServe,1,8002,2.1472,27.9929,120,exp109r1_fsv3capgnofrct75|exp138r1_noaffnocaphour,"vllm:inter_token_latency_seconds_{sum,count}, per engine, per second"
FluidServe,1,8002,2.1639,27.9787,120,exp109r1_fsv3capgnofrct75|exp138r1_noaffnocaphour,"vllm:inter_token_latency_seconds_{sum,count}, per engine, per second"
FluidServe,1,8002,2.1805,28.0175,120,exp109r1_fsv3capgnofrct75|exp138r1_noaffnocaphour,"vllm:inter_token_latency_seconds_{sum,count}, per engine, per second"
FluidServe,1,8002,2.1972,28.0224,120,exp109r1_fsv3capgnofrct75|exp138r1_noaffnocaphour,"vllm:inter_token_latency_seconds_{sum,count}, per engine, per second"
FluidServe,1,8002,2.2139,28.022,120,exp109r1_fsv3capgnofrct75|exp138r1_noaffnocaphour,"vllm:inter_token_latency_seconds_{sum,count}, per engine, per second"
FluidServe,1,8002,2.2305,28.0426,120,exp109r1_fsv3capgnofrct75|exp138r1_noaffnocaphour,"vllm:inter_token_latency_seconds_{sum,count}, per engine, per second"
FluidServe,1,8002,2.2472,28.0412,120,exp109r1_fsv3capgnofrct75|exp138r1_noaffnocaphour,"vllm:inter_token_latency_seconds_{sum,count}, per engine, per second"
FluidServe,1,8002,2.2639,28.0136,120,exp109r1_fsv3capgnofrct75|exp138r1_noaffnocaphour,"vllm:inter_token_latency_seconds_{sum,count}, per engine, per second"
FluidServe,1,8002,2.2805,28.0258,120,exp109r1_fsv3capgnofrct75|exp138r1_noaffnocaphour,"vllm:inter_token_latency_seconds_{sum,count}, per engine, per second"
FluidServe,1,8002,2.2972,28.0555,120,exp109r1_fsv3capgnofrct75|exp138r1_noaffnocaphour,"vllm:inter_token_latency_seconds_{sum,count}, per engine, per second"
FluidServe,1,8002,2.3139,28.0489,120,exp109r1_fsv3capgnofrct75|exp138r1_noaffnocaphour,"vllm:inter_token_latency_seconds_{sum,count}, per engine, per second"
FluidServe,1,8002,2.3305,27.996,120,exp109r1_fsv3capgnofrct75|exp138r1_noaffnocaphour,"vllm:inter_token_latency_seconds_{sum,count}, per engine, per second"
FluidServe,1,8002,2.3472,27.9591,120,exp109r1_fsv3capgnofrct75|exp138r1_noaffnocaphour,"vllm:inter_token_latency_seconds_{sum,count}, per engine, per second"
FluidServe,1,8002,2.3639,27.8949,120,exp109r1_fsv3capgnofrct75|exp138r1_noaffnocaphour,"vllm:inter_token_latency_seconds_{sum,count}, per engine, per second"
FluidServe,1,8002,2.3805,27.8927,120,exp109r1_fsv3capgnofrct75|exp138r1_noaffnocaphour,"vllm:inter_token_latency_seconds_{sum,count}, per engine, per second"
FluidServe,1,8002,2.3972,27.971,120,exp109r1_fsv3capgnofrct75|exp138r1_noaffnocaphour,"vllm:inter_token_latency_seconds_{sum,count}, per engine, per second"
FluidServe,1,8002,2.4139,27.9909,120,exp109r1_fsv3capgnofrct75|exp138r1_noaffnocaphour,"vllm:inter_token_latency_seconds_{sum,count}, per engine, per second"
FluidServe,1,8002,2.4305,27.9658,120,exp109r1_fsv3capgnofrct75|exp138r1_noaffnocaphour,"vllm:inter_token_latency_seconds_{sum,count}, per engine, per second"
FluidServe,1,8002,2.4472,27.9987,120,exp109r1_fsv3capgnofrct75|exp138r1_noaffnocaphour,"vllm:inter_token_latency_seconds_{sum,count}, per engine, per second"
FluidServe,1,8002,2.4639,28.0167,120,exp109r1_fsv3capgnofrct75|exp138r1_noaffnocaphour,"vllm:inter_token_latency_seconds_{sum,count}, per engine, per second"
FluidServe,1,8002,2.4805,28.0536,120,exp109r1_fsv3capgnofrct75|exp138r1_noaffnocaphour,"vllm:inter_token_latency_seconds_{sum,count}, per engine, per second"
FluidServe,1,8002,2.4972,28.0713,120,exp109r1_fsv3capgnofrct75|exp138r1_noaffnocaphour,"vllm:inter_token_latency_seconds_{sum,count}, per engine, per second"
FluidServe,1,8002,2.5139,28.0855,120,exp109r1_fsv3capgnofrct75|exp138r1_noaffnocaphour,"vllm:inter_token_latency_seconds_{sum,count}, per engine, per second"
FluidServe,1,8002,2.5305,28.09,120,exp109r1_fsv3capgnofrct75|exp138r1_noaffnocaphour,"vllm:inter_token_latency_seconds_{sum,count}, per engine, per second"
FluidServe,1,8002,2.5472,28.1333,120,exp109r1_fsv3capgnofrct75|exp138r1_noaffnocaphour,"vllm:inter_token_latency_seconds_{sum,count}, per engine, per second"
FluidServe,1,8002,2.5639,28.1065,120,exp109r1_fsv3capgnofrct75|exp138r1_noaffnocaphour,"vllm:inter_token_latency_seconds_{sum,count}, per engine, per second"
FluidServe,1,8002,2.5805,28.09,120,exp109r1_fsv3capgnofrct75|exp138r1_noaffnocaphour,"vllm:inter_token_latency_seconds_{sum,count}, per engine, per second"
FluidServe,1,8002,2.5972,28.1208,120,exp109r1_fsv3capgnofrct75|exp138r1_noaffnocaphour,"vllm:inter_token_latency_seconds_{sum,count}, per engine, per second"
FluidServe,1,8002,2.6139,28.3559,120,exp109r1_fsv3capgnofrct75|exp138r1_noaffnocaphour,"vllm:inter_token_latency_seconds_{sum,count}, per engine, per second"
FluidServe,1,8002,2.6305,28.4525,120,exp109r1_fsv3capgnofrct75|exp138r1_noaffnocaphour,"vllm:inter_token_latency_seconds_{sum,count}, per engine, per second"
