arm,run,minute,resident,resident_lo,resident_hi,stat,arrivals_req_s,pearson_r_with_arrivals,rejected_pct,unfinished_pct,repeats
PolyServe,260831_2232_exp109r1_polyservept75_shift,0.0,5898.24592285305,5819.555929367686,5898.24592285305,var,9.883333333333333,0.4945884595360274,22.238568348078434,0.6156667539952843,2
PolyServe,260831_2232_exp109r1_polyservept75_shift,1.0,6977.118678868905,6752.787586710276,6977.118678868905,var,11.25,0.4945884595360274,22.238568348078434,0.6156667539952843,2
PolyServe,260831_2232_exp109r1_polyservept75_shift,2.0,4174.320740277536,4134.94297772403,4174.320740277536,var,11.233333333333333,0.4945884595360274,22.238568348078434,0.6156667539952843,2
PolyServe,260831_2232_exp109r1_polyservept75_shift,3.0,6296.075953217278,6219.9553484306625,6296.075953217278,var,10.85,0.4945884595360274,22.238568348078434,0.6156667539952843,2
PolyServe,260831_2232_exp109r1_polyservept75_shift,4.0,16120.871885981038,16120.871885981038,16198.437700070574,var,11.766666666666667,0.4945884595360274,22.238568348078434,0.6156667539952843,2
PolyServe,260831_2232_exp109r1_polyservept75_shift,5.0,32753.234097010263,32753.234097010263,33138.37234460401,var,24.816666666666666,0.4945884595360274,22.238568348078434,0.6156667539952843,2
PolyServe,260831_2232_exp109r1_polyservept75_shift,6.0,31964.468899375413,31515.422176592805,31964.468899375413,var,40.166666666666664,0.4945884595360274,22.238568348078434,0.6156667539952843,2
PolyServe,260831_2232_exp109r1_polyservept75_shift,7.0,32575.627467414375,32163.777487380255,32575.627467414375,var,38.916666666666664,0.4945884595360274,22.238568348078434,0.6156667539952843,2
PolyServe,260831_2232_exp109r1_polyservept75_shift,8.0,33229.32647318517,33208.96471759284,33229.32647318517,var,40.46666666666667,0.4945884595360274,22.238568348078434,0.6156667539952843,2
PolyServe,260831_2232_exp109r1_polyservept75_shift,9.0,33830.48069917935,33765.32692257966,33830.48069917935,var,40.53333333333333,0.4945884595360274,22.238568348078434,0.6156667539952843,2
PolyServe,260831_2232_exp109r1_polyservept75_shift,10.0,25308.240191598987,24597.703919559834,25308.240191598987,var,36.3,0.4945884595360274,22.238568348078434,0.6156667539952843,2
PolyServe,260831_2232_exp109r1_polyservept75_shift,11.0,27371.103627224293,27371.103627224293,28097.247204156745,var,20.6,0.4945884595360274,22.238568348078434,0.6156667539952843,2
PolyServe,260831_2232_exp109r1_polyservept75_shift,12.0,25436.6630438965,25436.6630438965,26222.282533348167,var,21.866666666666667,0.4945884595360274,22.238568348078434,0.6156667539952843,2
PolyServe,260831_2232_exp109r1_polyservept75_shift,13.0,18142.602492580707,17603.420789799744,18142.602492580707,var,26.733333333333334,0.4945884595360274,22.238568348078434,0.6156667539952843,2
PolyServe,260831_2232_exp109r1_polyservept75_shift,14.0,11789.71687625244,11789.71687625244,12833.489084771272,var,16.45,0.4945884595360274,22.238568348078434,0.6156667539952843,2
