series,minute,value,smoothing_s,bytes_per_token
decode_kv_gb_s_rep1,0.92346,1.38351,20,327680
decode_kv_gb_s_rep1,0.94013,1.38291,20,327680
decode_kv_gb_s_rep1,0.95680,1.38491,20,327680
decode_kv_gb_s_rep1,0.97346,1.39186,20,327680
decode_kv_gb_s_rep1,0.99013,1.40805,20,327680
decode_kv_gb_s_rep1,1.00680,1.43277,20,327680
decode_kv_gb_s_rep1,1.02346,1.45285,20,327680
decode_kv_gb_s_rep1,1.04013,1.46363,20,327680
decode_kv_gb_s_rep1,1.05680,1.47849,20,327680
decode_kv_gb_s_rep1,1.07346,1.49137,20,327680
decode_kv_gb_s_rep1,1.09013,1.49162,20,327680
decode_kv_gb_s_rep1,1.10680,1.51555,20,327680
decode_kv_gb_s_rep1,1.12346,1.53951,20,327680
decode_kv_gb_s_rep1,1.14013,1.55390,20,327680
decode_kv_gb_s_rep1,1.15680,1.55666,20,327680
decode_kv_gb_s_rep1,1.17346,1.56673,20,327680
decode_kv_gb_s_rep1,1.19013,1.56031,20,327680
decode_kv_gb_s_rep1,1.20680,1.56369,20,327680
decode_kv_gb_s_rep1,1.22346,1.55191,20,327680
decode_kv_gb_s_rep1,1.24013,1.56246,20,327680
decode_kv_gb_s_rep1,1.25680,1.57054,20,327680
decode_kv_gb_s_rep1,1.27346,1.58475,20,327680
decode_kv_gb_s_rep1,1.29013,1.59913,20,327680
decode_kv_gb_s_rep1,1.30680,1.60465,20,327680
decode_kv_gb_s_rep1,1.32346,1.59036,20,327680
decode_kv_gb_s_rep1,1.34013,1.58039,20,327680
decode_kv_gb_s_rep1,1.35680,1.56371,20,327680
decode_kv_gb_s_rep1,1.37346,1.55621,20,327680
decode_kv_gb_s_rep1,1.39013,1.53552,20,327680
decode_kv_gb_s_rep1,1.40680,1.52812,20,327680
decode_kv_gb_s_rep1,1.42346,1.53222,20,327680
decode_kv_gb_s_rep1,1.44013,1.52638,20,327680
decode_kv_gb_s_rep1,1.45680,1.51220,20,327680
decode_kv_gb_s_rep1,1.47346,1.50160,20,327680
decode_kv_gb_s_rep1,1.49013,1.49960,20,327680
decode_kv_gb_s_rep1,1.50680,1.47432,20,327680
decode_kv_gb_s_rep1,1.52346,1.48728,20,327680
decode_kv_gb_s_rep1,1.54013,1.49701,20,327680
decode_kv_gb_s_rep1,1.55680,1.49320,20,327680
decode_kv_gb_s_rep1,1.57346,1.48855,20,327680
decode_kv_gb_s_rep1,1.59013,1.48811,20,327680
decode_kv_gb_s_rep1,1.60680,1.49377,20,327680
decode_kv_gb_s_rep1,1.62346,1.50092,20,327680
decode_kv_gb_s_rep1,1.64013,1.51299,20,327680
decode_kv_gb_s_rep1,1.65680,1.52144,20,327680
decode_kv_gb_s_rep1,1.67346,1.53716,20,327680
decode_kv_gb_s_rep1,1.69013,1.54620,20,327680
decode_kv_gb_s_rep1,1.70680,1.55457,20,327680
decode_kv_gb_s_rep1,1.72346,1.56629,20,327680
decode_kv_gb_s_rep1,1.74013,1.58472,20,327680
decode_kv_gb_s_rep1,1.75680,1.60820,20,327680
